City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Tazovskiy,RU,2022-12-21 04:15:09,67.4667,78.7,-33.2,99,78,6.13
92,Tuktoyaktuk,CA,2022-12-21 04:15:10,69.4541,-133.0374,-14.71,99,99,9.28
93,Shingu,JP,2022-12-21 04:15:10,33.7333,135.9833,52.56,59,29,5.53
94,Tambun,ID,2022-12-21 04:15:10,-6.2641,107.0712,89.64,62,40,8.05
95,Paamiut,GL,2022-12-21 04:15:11,61.994,-49.6678,12.83,58,4,10.27
96,San Cristobal,VE,2022-12-21 04:15:11,7.7669,-72.225,68.18,84,55,1.23
97,Barrow,US,2022-12-21 04:15:12,71.2906,-156.7887,-12.98,84,0,6.91
98,Airai,TL,2022-12-21 04:15:12,-8.9266,125.4092,63.99,87,100,3.58
99,Saskylakh,RU,2022-12-21 04:15:12,71.9167,114.0833,-32.78,96,76,6.44
100,Naze,JP,2022-12-21 04:15:13,28.3667,129.4833,63.72,74,100,15.28
101,Kungurtug,RU,2022-12-21 04:15:14,50.5994,97.5228,9.18,90,92,1.59
102,Hay River,CA,2022-12-21 04:15:14,60.8156,-115.7999,-24.57,96,38,4.47
103,Envira,BR,2022-12-21 04:15:14,-7.3,-70.2167,70.16,99,100,1.99
104,Ambulu,ID,2022-12-21 04:15:15,-8.345,113.6058,86.5,63,56,6.98
105,San Rafael,AR,2022-12-21 04:15:15,-34.6177,-68.3301,73.35,42,41,13.02
106,Hilo,US,2022-12-21 04:14:50,19.7297,-155.09,75.25,85,20,3.44
107,Nome,US,2022-12-21 04:15:16,64.5011,-165.4064,8.67,61,0,12.66
108,Lufilufi,WS,2022-12-21 04:15:16,-13.8745,-171.5986,86.79,77,21,18.45
109,Lagoa,PT,2022-12-21 04:15:17,39.05,-27.9833,62.26,91,100,21.68
110,Santa Fe,AR,2022-12-21 04:10:40,-31.6333,-60.7,80.01,57,0,5.01
111,Ugoofaaru,MV,2022-12-21 04:15:17,5.6667,73.0,80.44,72,100,3.22
